country_code,count,
UKR,1425094,7.6%
RUS,1372534,7.3%
USA,1170464,6.2%
THA,1150402,6.1%
SRB,985483,5.3%
ESP,824539,4.4%
ITA,559611,3.0%
DEU,544642,2.9%
JPN,523704,2.8%
GBR,474532,2.5%
POL,434215,2.3%
CAN,415738,2.2%
IDN,399645,2.1%
IND,399445,2.1%
BRA,385066,2.1%
ZAF,362570,1.9%
CHN,356316,1.9%
FRA,342530,1.8%
BLR,320956,1.7%
GRC,232547,1.2%
SVN,232520,1.2%
CZE,223699,1.2%
AUS,217852,1.2%
ROU,214464,1.1%
BGR,211961,1.1%
NLD,204348,1.1%
MYS,204261,1.1%
LVA,195196,1.0%
MEX,191316,1.0%
AUT,176971,0.9%
,176499,0.9%
VNM,171950,0.9%
PRT,169508,0.9%
TUR,161954,0.9%
CHE,158048,0.8%
MDA,154473,0.8%
HRV,149585,0.8%
TWN,137141,0.7%
NOR,136781,0.7%
KOR,129343,0.7%
ISR,126731,0.7%
ARG,126035,0.7%
FIN,122324,0.7%
COL,121527,0.6%
SWE,120204,0.6%
HKG,117810,0.6%
SVK,116493,0.6%
HUN,110764,0.6%
LTU,96445,0.5%
BEL,94465,0.5%
EGY,90453,0.5%
ISL,86224,0.5%
DNK,83752,0.4%
EST,81606,0.4%
MNE,79064,0.4%
KAZ,75214,0.4%
ARE,73163,0.4%
CHL,72457,0.4%
MDV,71099,0.4%
BIH,69701,0.4%
NPL,67883,0.4%
SGP,65670,0.4%
PHL,63443,0.3%
CXR,61904,0.3%
MKD,13149,0.1%
PER,9305,0.0%
CUB,8615,0.0%
LKA,8321,0.0%
BGD,6902,0.0%
PAK,6667,0.0%
CYP,6661,0.0%
MMR,6537,0.0%
MAR,6092,0.0%
GEO,5961,0.0%
ECU,5837,0.0%
SAU,5649,0.0%
VEN,4940,0.0%
ETH,4779,0.0%
UZB,4658,0.0%
TZA,4646,0.0%
KHM,4437,0.0%
MLT,4039,0.0%
DMA,3981,0.0%
KEN,3964,0.0%
SYC,3942,0.0%
LBN,3714,0.0%
PAN,3713,0.0%
IRN,3692,0.0%
CRI,3502,0.0%
NIC,3371,0.0%
LAO,3233,0.0%
KGZ,3205,0.0%
AZE,2885,0.0%
NER,2858,0.0%
OMN,2789,0.0%
BHS,2719,0.0%
NAM,2624,0.0%
IRL,2561,0.0%
JOR,2302,0.0%
BWA,2222,0.0%
QAT,2198,0.0%
URY,2168,0.0%
GTM,2059,0.0%
BOL,2024,0.0%
HND,1790,0.0%
ALB,1636,0.0%
NZL,1600,0.0%
VIR,1542,0.0%
JAM,1537,0.0%
IRQ,1511,0.0%
ARM,1504,0.0%
TKM,1470,0.0%
PYF,1331,0.0%
GRD,1310,0.0%
MNG,1286,0.0%
CYM,1231,0.0%
GHA,1194,0.0%
GGY,1183,0.0%
MUS,1156,0.0%
TUN,1152,0.0%
COK,1143,0.0%
TGO,1099,0.0%
BEN,1025,0.0%
SEN,999,0.0%
PSE,925,0.0%
ZMB,913,0.0%
YEM,907,0.0%
DZA,883,0.0%
PRI,874,0.0%
UGA,859,0.0%
SYR,858,0.0%
FRO,849,0.0%
LBR,839,0.0%
FJI,831,0.0%
TCD,817,0.0%
ATA,815,0.0%
BRN,778,0.0%
MDG,763,0.0%
ASM,719,0.0%
MCO,714,0.0%
RWA,697,0.0%
AND,691,0.0%
AGO,659,0.0%
MLI,647,0.0%
BTN,635,0.0%
PRY,617,0.0%
LUX,592,0.0%
ATG,569,0.0%
HTI,556,0.0%
CUW,515,0.0%
SDN,505,0.0%
BLZ,491,0.0%
BHR,489,0.0%
MWI,488,0.0%
MYT,484,0.0%
TTO,420,0.0%
GIN,411,0.0%
VAT,410,0.0%
DOM,408,0.0%
BRB,405,0.0%
PNG,386,0.0%
CMR,380,0.0%
AFG,376,0.0%
SLV,373,0.0%
WSM,351,0.0%
KWT,336,0.0%
PRK,328,0.0%
ZWE,317,0.0%
BDI,314,0.0%
LBY,313,0.0%
ABW,294,0.0%
BFA,292,0.0%
VUT,275,0.0%
GUM,256,0.0%
MAC,254,0.0%
BMU,247,0.0%
LIE,231,0.0%
TJK,228,0.0%
GMB,207,0.0%
BLM,206,0.0%
PLW,197,0.0%
SLE,197,0.0%
SUR,186,0.0%
ERI,183,0.0%
VCT,180,0.0%
GRL,178,0.0%
COG,172,0.0%
GAB,169,0.0%
TON,154,0.0%
JEY,151,0.0%
SGS,150,0.0%
SOM,149,0.0%
TLS,149,0.0%
FSM,148,0.0%
CPV,142,0.0%
MOZ,142,0.0%
REU,141,0.0%
MAF,138,0.0%
LCA,137,0.0%
SMR,137,0.0%
SLB,131,0.0%
ATF,130,0.0%
MRT,126,0.0%
NGA,121,0.0%
AIA,120,0.0%
GIB,116,0.0%
GUY,108,0.0%
ALA,92,0.0%
COM,89,0.0%
FLK,85,0.0%
LSO,82,0.0%
BES,79,0.0%
KNA,77,0.0%
NCL,69,0.0%
GUF,67,0.0%
MTQ,67,0.0%
GLP,65,0.0%
SHN,62,0.0%
GNB,61,0.0%
SPM,59,0.0%
CIV,44,0.0%
STP,44,0.0%
GNQ,40,0.0%
IMN,40,0.0%
DJI,39,0.0%
VGB,39,0.0%
COD,36,0.0%
NRU,36,0.0%
CAF,33,0.0%
IOT,33,0.0%
TUV,30,0.0%
KIR,28,0.0%
MNP,27,0.0%
NIU,26,0.0%
WLF,22,0.0%
NFK,17,0.0%
TKL,16,0.0%
SXM,11,0.0%
PCN,7,0.0%
SSD,6,0.0%
TCA,6,0.0%
SJM,5,0.0%
BVT,4,0.0%
CCK,4,0.0%
HMD,2,0.0%
MHL,1,0.0%
UMI,1,0.0%
,18737554,