ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_3_to_22_sum,total
0,0.0,16.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,36.0
1,4.0,19.0,64.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,20.0,128.0
2,7.0,46.0,63.0,4.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,9.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,36.0,190.0
3,7.0,62.0,81.0,0.0,1.0,0.0,5.0,2.0,0.0,1.0,3.0,3.0,3.0,0.0,2.0,3.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,33.0,219.0
4,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,16.0
5,3.0,25.0,48.0,0.0,0.0,2.0,6.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,10.0,1.0,1.0,0.0,35.0,151.0
6,0.0,27.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,56.0
7,0.0,31.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0,83.0
8,2.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
9,2.0,49.0,70.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,2.0,7.0,2.0,2.0,0.0,4.0,4.0,2.0,2.0,1.0,36.0,202.0
10,1.0,22.0,49.0,0.0,2.0,0.0,3.0,0.0,0.0,4.0,2.0,5.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,26.0,134.0
11,4.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,51.0
12,1.0,29.0,17.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,11.0,81.0
13,1.0,52.0,50.0,0.0,0.0,4.0,10.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,7.0,1.0,2.0,7.0,1.0,5.0,2.0,0.0,0.0,46.0,208.0
14,2.0,19.0,16.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,15.0,81.0
15,2.0,25.0,51.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,115.0
16,0.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,49.0
17,2.0,9.0,39.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,81.0
18,4.0,58.0,64.0,2.0,1.0,1.0,4.0,0.0,2.0,5.0,1.0,3.0,4.0,0.0,9.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,38.0,220.0
19,0.0,21.0,38.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,13.0,104.0
20,1.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,49.0
21,0.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,50.0
22,2.0,14.0,10.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,58.0
23,3.0,66.0,127.0,1.0,3.0,2.0,11.0,2.0,4.0,6.0,2.0,10.0,3.0,0.0,10.0,10.0,1.0,8.0,1.0,18.0,1.0,5.0,0.0,98.0,415.0
24,2.0,31.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,11.0,94.0
25,0.0,21.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,1.0,2.0,4.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,28.0,123.0
26,5.0,27.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,102.0
27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0
28,1.0,25.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,88.0
29,5.0,20.0,41.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,6.0,1.0,0.0,0.0,23.0,141.0
30,5.0,15.0,43.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,2.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,26.0,145.0
31,0.0,14.0,33.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,22.0,122.0
32,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,53.0
33,1.0,24.0,32.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,12.0,114.0
34,0.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,57.0
35,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0
36,4.0,26.0,36.0,0.0,2.0,2.0,5.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,23.0,148.0
37,1.0,19.0,43.0,0.0,0.0,0.0,9.0,6.0,0.0,2.0,1.0,1.0,1.0,0.0,5.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,31.0,162.0
38,6.0,35.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,13.0,134.0
39,1.0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,79.0
40,2.0,20.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,84.0
41,7.0,27.0,53.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,18.0,164.0
42,12.0,71.0,123.0,0.0,1.0,0.0,6.0,0.0,1.0,2.0,0.0,5.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,32.0,312.0
43,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0
44,1.0,19.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,94.0
45,1.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,14.0,105.0
46,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,62.0
47,0.0,14.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,9.0,103.0
48,4.0,95.0,156.0,1.0,0.0,3.0,16.0,0.0,3.0,3.0,4.0,12.0,1.0,3.0,2.0,3.0,2.0,0.0,2.0,8.0,1.0,2.0,0.0,66.0,435.0
49,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,74.0
50,0.0,50.0,71.0,1.0,0.0,0.0,6.0,0.0,3.0,0.0,1.0,13.0,3.0,0.0,5.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,38.0,247.0
51,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0
52,4.0,12.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,95.0
53,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0
54,4.0,17.0,23.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,17.0,132.0
55,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0
56,0.0,6.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,81.0
57,1.0,32.0,50.0,1.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,8.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,8.0,1.0,3.0,2.0,39.0,218.0
58,2.0,47.0,114.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0,4.0,12.0,0.0,0.0,0.0,2.0,1.0,5.0,2.0,9.0,1.0,2.0,1.0,54.0,329.0
59,0.0,10.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,97.0
60,1.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,13.0,109.0
61,2.0,24.0,44.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,15.0,161.0
62,0.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,82.0
63,2.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,87.0
64,12.0,52.0,61.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,11.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,28.0,245.0
65,5.0,31.0,28.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,153.0
66,1.0,30.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,16.0,162.0
67,2.0,28.0,37.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,150.0
68,1.0,15.0,45.0,2.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0,4.0,2.0,0.0,1.0,2.0,0.0,1.0,5.0,5.0,0.0,0.0,1.0,36.0,201.0
69,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,84.0
70,4.0,31.0,33.0,0.0,0.0,2.0,6.0,0.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,2.0,3.0,4.0,1.0,10.0,1.0,0.0,0.0,39.0,216.0
71,0.0,6.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,91.0
72,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
73,2.0,55.0,93.0,3.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,3.0,6.0,4.0,0.0,0.0,36.0,295.0
74,1.0,14.0,44.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,151.0
75,2.0,15.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,109.0
76,1.0,19.0,25.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,16.0,153.0
77,0.0,12.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,13.0,140.0
78,8.0,52.0,109.0,1.0,3.0,4.0,11.0,2.0,5.0,3.0,2.0,9.0,3.0,0.0,7.0,3.0,0.0,6.0,4.0,20.0,0.0,1.0,0.0,84.0,415.0
79,2.0,32.0,80.0,0.0,3.0,0.0,12.0,1.0,3.0,0.0,1.0,6.0,3.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,38.0,269.0
80,0.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,113.0
81,1.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
82,0.0,6.0,15.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,125.0
83,2.0,32.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,165.0
84,2.0,14.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,125.0
85,4.0,46.0,37.0,0.0,1.0,0.0,6.0,1.0,0.0,4.0,0.0,4.0,1.0,0.0,7.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,31.0,234.0
86,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,99.0
87,2.0,30.0,17.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,152.0
88,7.0,24.0,47.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,7.0,1.0,0.0,1.0,20.0,206.0
89,4.0,86.0,145.0,3.0,2.0,5.0,14.0,4.0,9.0,8.0,3.0,13.0,9.0,0.0,2.0,15.0,3.0,12.0,9.0,14.0,2.0,1.0,2.0,130.0,584.0
90,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,101.0
91,4.0,23.0,91.0,0.0,0.0,0.0,5.0,2.0,13.0,0.0,2.0,7.0,3.0,1.0,3.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,43.0,295.0
92,2.0,12.0,29.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,20.0,175.0
93,1.0,22.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,162.0
94,2.0,26.0,28.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,178.0
95,0.0,12.0,30.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,151.0
96,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0
97,1.0,18.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,1.0,0.0,0.0,20.0,176.0
98,1.0,17.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,125.0
99,11.0,60.0,37.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,3.0,7.0,2.0,10.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,33.0,273.0
100,4.0,27.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.0,195.0
101,3.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,129.0
102,2.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,124.0
103,5.0,44.0,167.0,0.0,5.0,1.0,32.0,3.0,20.0,10.0,7.0,25.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,23.0,9.0,1.0,1.0,148.0,615.0
104,2.0,24.0,37.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,14.0,195.0
105,6.0,41.0,53.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,233.0
106,3.0,31.0,28.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,12.0,192.0
107,4.0,20.0,38.0,0.0,0.0,0.0,5.0,0.0,1.0,8.0,2.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,4.0,8.0,0.0,0.0,0.0,37.0,243.0
108,8.0,35.0,51.0,1.0,0.0,1.0,8.0,0.0,1.0,2.0,0.0,4.0,3.0,0.0,4.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,33.0,268.0
109,1.0,15.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,174.0
110,1.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,138.0
111,0.0,13.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,162.0
112,2.0,39.0,39.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,3.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,230.0
113,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0
114,0.0,15.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,146.0
115,0.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,154.0
116,15.0,93.0,86.0,0.0,0.0,0.0,9.0,0.0,4.0,3.0,0.0,4.0,1.0,1.0,16.0,1.0,3.0,1.0,0.0,8.0,0.0,2.0,1.0,54.0,418.0
117,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,129.0
118,2.0,22.0,24.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,11.0,188.0
119,4.0,16.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,10.0,217.0
120,0.0,33.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,174.0
121,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,139.0
122,0.0,12.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,18.0,202.0
123,3.0,17.0,31.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,184.0
124,0.0,13.0,36.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13.0,199.0
125,7.0,41.0,30.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,229.0
126,2.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,161.0
127,14.0,72.0,177.0,2.0,0.0,0.0,15.0,2.0,1.0,7.0,6.0,6.0,8.0,1.0,9.0,4.0,7.0,8.0,6.0,12.0,1.0,1.0,2.0,98.0,586.0
