1,Belarus
2,Bulgaria
3,Czech Republic
4,Hungary
5,Moldova
6,Poland
7,Romania
8,Russia
9,Slovakia
10,Ukraine
11,Cocos or Keeling Islands - Australian Territory
12,Comoros
13,Maldives
14,Mauritius
15,Réunion - French Overseas Territory
16,Seychelles
17,Afghanistan
18,Kazakhstan
19,Kyrgyzstan
20,Nepal
21,Tajikistan
22,Turkmenistan
23,Uzbekistan
24,China - East Asia
25,Hong Kong
26,Japan
27,Macau
28,Independent Mongolia
29,North Korea
30,South Korea
31,Taiwan
32,Cambodia
33,Indonesia
34,Laos
35,Malaysia
36,Philippines
37,Singapore
38,Vietnam
39,Bangladesh
40,Bhutan
41,India
42,Pakistan
43,Sri Lanka
44,Iran
45,Iraq
46,Israel
47,Jordan - Middle East
48,Lebanon - Country
49,Syria
50,Türkiye - Country
51,Algeria
52,Egypt
53,Libya
54,Morocco
55,Tunisia
56,Benin
57,Ghana
58,Guinea
59,Guinea Bissau
60,Côte d'Ivoire
61,Liberia
62,Mali
63,Mauritania
64,Niger
65,Nigeria
66,Senegal
67,Sierra Leone
68,Gambia
69,Togo
70,Cameroon
71,Central African Republic
72,Chad - Central Africa
73,Equatorial Guinea
74,Gabon
75,São Tomé and Príncipe
76,Democratic Republic of the Congo
77,Angola
78,Botswana
79,Burundi - East Africa
80,Djibouti
81,Eritrea
82,Ethiopia
83,Kenya
84,Malawi
85,Mozambique
86,Namibia
87,Rwanda
88,Somalia
89,Sudan
90,Tanzania
91,Uganda
92,Zambia
93,Zimbabwe
94,Lesotho
95,Madagascar
96,South Africa
97,Eswatini (Swaziland)
98,Bermuda
99,France
100,Denmark
101,Finland
102,Norway
103,Sweden
104,Belgium
105,Luxembourg - Benelux
106,Netherlands
107,Greenland
108,Iceland
109,Republic of Ireland
110,UK
111,Scotland
112,Wales
113,England
114,Austria
115,Germany
116,Switzerland
117,Greece
118,Italy
119,Malta
120,Portugal
121,Spain
122,Albania
123,Serbia
124,Montenegro
125,Kosovo
126,Estonia
127,Latvia
128,Lithuania
129,Armenia - Country
130,Azerbaijan
131,Georgia - Country
132,Bahrain
133,Kuwait
134,Oman
135,Saudi Arabia
136,United Arab Emirates
137,Yemen
138,Mexico
139,USA
140,Bahamas
141,Belize
142,Costa Rica
143,Guatemala
144,Honduras
145,Nicaragua
146,Panama
147,Argentina
148,Bolivia
149,Brazil
150,Chile
151,Colombia
152,Ecuador
153,French Guiana
154,Guyana
155,Paraguay
156,Peru
157,Suriname
158,Uruguay
159,Venezuela
160,Canada
161,San Marino
162,Monaco
163,Northern Ireland
164,Qatar
165,Zanzibar
166,French Polynesia
167,Tonga
168,Micronesia
169,Samoa
170,Cook Islands
171,Palau
172,Fiji
173,Solomon Islands
174,Vanuatu
175,New Zealand
176,British Virgin Islands
177,Aruba
178,Curaçao
179,Martinique
180,Saint Barthélemy
181,Guadeloupe
182,Australia
183,Sint Maarten
184,Saba - Antilles
185,Grenada
186,Saint Lucia
187,Barbados
188,Cuba
189,Puerto Rico
190,Jamaica
191,Dominican Republic
192,Cayman Islands
193,Svalbard
194,Brunei
195,Myanmar
196,North Macedonia
197,Slovenia
198,Bosnia and Hercegovina
199,Croatia
200,Burkina Faso
201,Papua New Guinea
202,Thailand
203,Falkland Islands
204,Antarctica
205,Isle of Man
206,Jersey - England
207,Guernsey
208,Mayotte
209,Haiti
210,El Salvador
211,Liechtenstein
212,Wallis and Futuna
213,New Caledonia
214,Trinidad and Tobago
215,Turks and Caicos Islands
216,Anguilla
217,Dominica
218,Faroe Islands
219,Gibraltar
220,Virgin Islands
221,Bonaire
222,Nauru
223,Marshall Islands
224,Andorra
225,Guam
226,Kiribati
227,American Samoa
228,Cabo Verde
229,Antigua and Barbuda
230,Åland Islands
231,Christmas Island
232,Niue
233,Tuvalu
234,Timor-Leste
235,Northern Mariana Islands
236,Saint Vincent and the Grenadines
237,Saint Kitts and Nevis
238,Abkhazia
239,South Ossetia
240,Norfolk Island
241,Tokelau
242,Somaliland
243,French Overseas Territory
244,State of the Vatican City
245,Republic of the Congo
246,South Sudan
247,Western Sahara
248,British Indian Ocean Territory
249,Svalbard and Jan Mayen
250,Palestine
251,Cyprus
252,South Georgia and the South Sandwich Islands
253,Saint Martin
254,Saint Helena Ascension and Tristan da Cunha
255,Montserrat
256,Pitcairn Islands
257,Bouvet Island
258,United States Minor Outlying Islands
259,Saint Pierre and Miquelon
260,Heard Island and McDonald Islands